question,answer
What are symptoms of diabetes?,"Common symptoms include frequent urination, fatigue, weight loss, and blurred vision."
How to treat fever?,"Fever can be treated with rest, fluids, and medications like paracetamol."
What causes headache?,"Headaches can be caused by stress, dehydration, lack of sleep, or underlying conditions."
What are treatments for cough?,"Cough can be treated with rest, hydration, and cough syrups if needed."
What are symptoms of high blood pressure?,"Symptoms may include headaches, dizziness, and vision problems."
How to manage stress and anxiety?,"Stress and anxiety can be managed with meditation, therapy, exercise, and medication if necessary."
What are side effects of antibiotics?,"Antibiotics can cause nausea, diarrhea, rashes, and sometimes allergic reactions."
How to deal with insomnia?,"Insomnia can be managed through sleep hygiene, therapy, and sometimes medication."
What are signs of depression?,"Depression signs include sadness, fatigue, loss of interest, and sleep problems."
What is the treatment for flu?,"Flu is treated with rest, hydration, antiviral medication, and over-the-counter medicines."
